#Datensatz #1	Datensatz #1	Datensatz #1	Datensatz #1	Datensatz #1	Datensatz #1	Datensatz #1	Datensatz #1
#Zeit (s)	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 (°C)
0.00	24.68	25.34	25.46	24.45	25.69	26.20	25.67	23.38
0.20	24.69	25.34	25.47	24.45	25.68	26.20	25.67	23.38
0.40	24.68	25.34	25.47	24.46	25.68	26.21	25.67	23.38
0.60	24.69	25.34	25.47	24.46	25.69	26.21	25.67	23.38
0.80	24.68	25.35	25.47	24.46	25.69	26.21	25.67	23.39
1.00	24.69	25.34	25.47	24.45	25.69	26.21	25.66	23.39
1.20	24.69	25.34	25.47	24.46	25.69	26.21	25.67	23.38
1.40	24.69	25.34	25.47	24.46	25.69	26.21	25.67	23.39
1.60	24.70	25.35	25.47	24.46	25.69	26.21	25.67	23.39
1.80	24.69	25.35	25.48	24.46	25.70	26.22	25.68	23.39
2.00	24.69	25.35	25.48	24.47	25.70	26.22	25.68	23.38
2.20	24.69	25.35	25.48	24.47	25.70	26.23	25.68	23.39
2.40	24.69	25.36	25.49	24.47	25.70	26.24	25.68	23.39
2.60	24.70	25.36	25.49	24.47	25.70	26.24	25.68	23.39
2.80	24.69	25.36	25.50	24.46	25.70	26.26	25.68	23.39
3.00	24.70	25.37	25.51	24.47	25.70	26.28	25.68	23.39
3.20	24.70	25.37	25.52	24.47	25.70	26.30	25.68	23.39
3.40	24.70	25.39	25.53	24.47	25.70	26.32	25.68	23.39
3.60	24.70	25.40	25.55	24.47	25.71	26.35	25.68	23.39
3.80	24.70	25.41	25.56	24.47	25.71	26.37	25.68	23.39
4.00	24.71	25.42	25.58	24.47	25.71	26.41	25.69	23.39
4.20	24.70	25.44	25.60	24.48	25.71	26.44	25.69	23.39
4.40	24.71	25.46	25.62	24.47	25.72	26.47	25.69	23.40
4.60	24.71	25.47	25.64	24.48	25.72	26.51	25.70	23.40
4.80	24.71	25.49	25.67	24.48	25.72	26.55	25.70	23.40
5.00	24.71	25.51	25.69	24.48	25.73	26.58	25.70	23.40
5.20	24.71	25.54	25.71	24.48	25.73	26.63	25.71	23.40
5.40	24.71	25.55	25.75	24.48	25.74	26.67	25.70	23.40
5.60	24.72	25.58	25.78	24.48	25.74	26.71	25.71	23.40
5.80	24.71	25.60	25.81	24.48	25.74	26.76	25.71	23.40
6.00	24.72	25.63	25.84	24.49	25.75	26.81	25.72	23.40
6.20	24.72	25.66	25.87	24.49	25.75	26.85	25.72	23.40
6.40	24.72	25.68	25.91	24.49	25.77	26.90	25.73	23.41
6.60	24.72	25.71	25.94	24.49	25.77	26.96	25.74	23.40
6.80	24.73	25.74	25.97	24.49	25.78	27.00	25.74	23.40
7.00	24.72	25.77	26.00	24.49	25.79	27.05	25.75	23.40
7.20	24.73	25.80	26.05	24.50	25.81	27.11	25.76	23.41
7.40	24.73	25.83	26.08	24.49	25.81	27.15	25.77	23.41
7.60	24.73	25.86	26.12	24.50	25.81	27.21	25.77	23.41
7.80	24.73	25.90	26.16	24.50	25.83	27.26	25.78	23.40
8.00	24.74	25.93	26.19	24.50	25.84	27.31	25.79	23.41
8.20	24.74	25.96	26.23	24.51	25.85	27.36	25.80	23.41
8.40	24.74	26.00	26.28	24.51	25.87	27.42	25.81	23.41
8.60	24.75	26.03	26.31	24.52	25.88	27.47	25.82	23.41
8.80	24.75	26.06	26.35	24.51	25.89	27.52	25.83	23.41
9.00	24.75	26.10	26.40	24.52	25.91	27.56	25.84	23.41
9.20	24.75	26.14	26.44	24.52	25.92	27.62	25.85	23.41
9.40	24.76	26.17	26.48	24.53	25.94	27.67	25.86	23.41
9.60	24.76	26.21	26.52	24.53	25.94	27.73	25.88	23.41
9.80	24.76	26.25	26.56	24.53	25.97	27.78	25.90	23.41
10.00	24.77	26.28	26.60	24.54	25.98	27.84	25.90	23.42
10.20	24.77	26.31	26.65	24.54	26.00	27.88	25.92	23.41
10.40	24.77	26.35	26.69	24.55	26.02	27.94	25.93	23.41
10.60	24.78	26.40	26.73	24.55	26.03	27.99	25.95	23.42
10.80	24.79	26.43	26.77	24.55	26.05	28.04	25.96	23.42
11.00	24.79	26.47	26.81	24.56	26.07	28.09	25.98	23.42
11.20	24.79	26.50	26.86	24.57	26.10	28.14	25.99	23.42
11.40	24.80	26.54	26.90	24.58	26.11	28.19	26.01	23.42
11.60	24.81	26.58	26.95	24.58	26.13	28.24	26.03	23.42
11.80	24.81	26.62	26.99	24.58	26.15	28.29	26.04	23.41
12.00	24.82	26.66	27.04	24.59	26.17	28.35	26.06	23.42
12.20	24.83	26.69	27.08	24.60	26.18	28.39	26.09	23.43
12.40	24.83	26.74	27.12	24.61	26.21	28.44	26.10	23.42
12.60	24.84	26.77	27.16	24.61	26.23	28.50	26.12	23.42
12.80	24.84	26.81	27.21	24.62	26.25	28.54	26.14	23.42
13.00	24.84	26.85	27.25	24.63	26.27	28.59	26.16	23.43
13.20	24.86	26.89	27.29	24.63	26.29	28.64	26.17	23.43
13.40	24.86	26.92	27.34	24.64	26.31	28.69	26.20	23.43
13.60	24.87	26.97	27.38	24.65	26.34	28.74	26.22	23.43
