# I in nA    orange   grün  	Türkis   violett1  violett2
0             0.45    0.542   0.82     0.980     1.054
2             0.413   0.527   0.628    0.970     1.040
4             0.394   0.517   0.507    0.962     1.025
6             0.371   0.507   0.387    0.953     1.012
8             0.353   0.496   0.304    0.937     0.994
10            0.344   0.489   0.239    0.933     0.984
12            0.330   0.479   0.180    0.935     0.975
14            0.314   0.469   0.103    0.922     0.962
16            0.301   0.463   0.010    0.916     0.951
18            0.291   0.455   0        0.902     0.937
20            0.284   0.447   0        0.903     0.952
