#U in V       I in pA
-19   -17
-18   -17
-17   -16
-16   -16
-15   -15
-14   -12
-13   -12
-12   -12
-11   -11
-10   -12
-9    -11
-8    -10
-7    -10
-6    -9
-5    -9
-4    -8
-3    -7
-2    -7
-1.8  -6
-1.6  -6
-1.4  -6
-1.2  -6
-1.0  -5
-0.8  -4
-0.6  -3
-0.4   1
-0.3   8
-0.2   20
-0.1   31
0      46
0.1    57
0.2    65
0.3    70
0.4    80
0.6    90
0.8    96
1.0   120
1.2   140
1.4   150
1.6   160
1.8   180
2     190
3     280
4     330
5     380
6     400
7     400
8     460
9     480
10    500
11    490
12    540
13    550
14    540
15    570
16    660
17    620
18    580
19    620
