#U  I1    I2      I3      I4       I5
#0    0       0       0       0       0
5    0.013   0.017   0.016   0.013   0.011
10   0.033   0.035   0.033   0.031   0.027
15   0.053   0.053   0.053   0.052   0.043
20   0.079   0.080   0.075   0.071   0.061
25   0.108   0.109   0.101   0.094   0.079
30   0.143   0.140   0.130   0.120   0.097
35   0.179   0.175   0.164   0.148   0.117
40   0.216   0.210   0.195   0.176   0.135
45   0.261   0.247   0.226   0.206   0.155
50   0.300   0.289   0.264   0.234   0.170
55   0.360   0.337   0.302   0.266   0.187
60   0.433   0.383   0.348   0.299   0.200
70   0.524   0.490   0.436   0.461   0.214
80   0.638   0.598   0.519   0.425   0.232
90   0.759   0.674   0.602   0.576   0.243
100  0.866   0.818   0.665   0.524   0.272
110  1.029   0.923   0.743   0.562   0.290
120  1.155   1.055   0.813   0.595   0.299
130  1.298   1.165   0.883   0.622   0.306
140  1.450   1.282   0.954   0.645   0.312
150  1.601   1.394   1.011   0.664   0.319
160  1.769   1.511   1.056   0.678   0.325
170  1.920   1.623   1.097   0.687   0.330
180  2.08    1.739   1.134   0.694   0.334
190  2.22    1.852   1.175   0.700   0.337
200  2.39    1.956   1.207   0.705   0.340
210  2.55    2.06    1.232   0.709   0.342
220  2.71    2.14    1.251   0.714   0.345
230  2.88    2.25    1.267   0.718   0.347
240  3.05    2.34    1.282   0.718   0.349
250  3.11    2.44    1.294   0.721   0.350
